epoch,loss_d,loss_g,fid,is_mean,is_std
1,-39.55110730742358,-261.3172312145961,6.701867580413818,2.2477166652679443,0.03917666897177696
2,-17.76256736455543,-28.273798761548743,4.282007694244385,2.476283550262451,0.06047716364264488
3,-16.67093988295573,-14.275732039221618,2.213452100753784,2.572033643722534,0.046520672738552094
4,-14.535887645446921,-17.537630474331856,2.1558480262756348,2.5759048461914062,0.062226422131061554
5,-12.37965863997009,-17.16421472766692,1.4111493825912476,2.5687525272369385,0.09178505837917328
6,-11.071669335727188,-15.573331125317903,1.4507731199264526,2.613252878189087,0.0699283629655838
7,-10.009572983467809,-15.988230197818973,1.0114521980285645,2.682565927505493,0.08841172605752945
8,-9.225947685612969,-14.49008275279017,0.8312645554542542,2.6451287269592285,0.06866945326328278
9,-8.48835460309011,-15.232101050473975,0.7698465585708618,2.650674343109131,0.09757385402917862
10,-8.130996062513697,-18.01182690651877,0.5980567336082458,2.790009021759033,0.07937511056661606
